feature,importance_mean,importance_std
BMI,0.03429780459417324,0.004960275672330207
GenHlth,0.025216710411019715,0.0035897428196586235
HighBP,0.020347575574621378,0.003264660085686948
HighChol,0.01354007162044502,0.0019113341039377909
Age,0.012206138689186541,0.004298869027458098
HeartDiseaseorAttack,0.004068258839373761,0.0013514913594705467
HvyAlcoholConsump,0.0029650801407214654,0.001110759836938926
DiffWalk,0.001892643821034623,0.0017434778613386822
Stroke,0.001548935135971058,0.0007013932476982031
CholCheck,0.001437510130883357,0.0005835952424522054
Income,9.07615636862813e-05,0.0019232540037695963
Fruits,8.32759897915758e-06,0.0018868118510670375
PhysActivity,-0.000288759528026733,0.0011980005424996726
AnyHealthcare,-0.0005014437080697653,0.0007613864798242263
MentHlth,-0.0007028470645669583,0.0013776704859601253
NoDocbcCost,-0.0009775718802223833,0.0005548520261169208
Education,-0.0027431728673400603,0.0016640584625151663
Sex,-0.0027549089500594204,0.0042895956510254196
Smoker,-0.004075067030294055,0.0011392201034715395
Veggies,-0.005701967269407337,0.0031166628635549555
PhysHlth,-0.006210851122819,0.004107820800027116
